depth	min	max	median	mean
1800	1022	1344	1202	1197
1810	1069	1391	1247	1242
1820	1098	1471	1289	1288
1830	1149	1512	1333	1332
1840	1184	1571	1375	1376
1850	1237	1613	1420	1421
1860	1274	1673	1465	1467
1870	1328	1706	1509	1511
1880	1363	1757	1553	1555
1890	1429	1788	1595	1599
1900	1467	1837	1639	1643
1910	1524	1879	1686	1690
1920	1556	1946	1732	1737
1930	1599	2001	1784	1788
1940	1628	2087	1832	1839
1950	1671	2146	1884	1889
1960	1700	2227	1933	1939
1970	1747	2282	1982	1990
1980	1776	2353	2031	2040
1990	1819	2408	2083	2092
2000	1853	2481	2134	2143
2010	1900	2535	2183	2193
2020	1933	2604	2233	2243
2030	1981	2661	2283	2293
2040	2017	2719	2333	2343
2050	2070	2771	2382	2393
2060	2106	2833	2434	2443
2070	2154	2876	2485	2495
2080	2189	2937	2537	2546
2090	2241	2985	2591	2597
2100	2278	3052	2643	2649
2110	2326	3097	2693	2699
2120	2365	3163	2742	2749
2130	2420	3213	2796	2800
2140	2461	3275	2847	2852
2150	2510	3318	2899	2903
2160	2551	3381	2949	2954
2170	2596	3433	3000	3005
2180	2637	3486	3052	3056
2190	2685	3536	3104	3106
2200	2729	3591	3157	3157
2210	2785	3630	3205	3207
2220	2829	3691	3257	3258
2230	2882	3739	3308	3308
2240	2919	3791	3359	3358
2250	2974	3837	3410	3408
2260	3022	3891	3459	3458
2270	3072	3940	3507	3509
2280	3113	3987	3557	3559
2290	3169	4036	3608	3609
2300	3215	4092	3660	3660
2310	3279	4135	3712	3711
2320	3322	4185	3762	3762
2330	3380	4228	3812	3813
2340	3432	4283	3863	3864
2350	3492	4324	3912	3914
2360	3537	4376	3966	3965
2370	3598	4418	4018	4015
2380	3648	4470	4068	4065
2390	3705	4509	4120	4116
2400	3753	4560	4171	4167
2410	3817	4599	4221	4217
2420	3864	4653	4270	4267
2430	3929	4691	4320	4317
2440	3976	4741	4370	4367
2450	4043	4777	4422	4418
2460	4092	4829	4475	4470
2470	4162	4868	4524	4520
2480	4213	4912	4572	4570
2490	4280	4947	4623	4621
2500	4335	4995	4675	4672
2510	4406	5028	4724	4723
2520	4457	5077	4777	4775
2530	4534	5113	4825	4826
2540	4587	5160	4876	4877
2550	4674	5192	4924	4928
2560	4730	5238	4973	4979
2570	4810	5274	5025	5033
2580	4858	5341	5079	5087
2590	4908	5401	5136	5142
2600	4939	5490	5190	5197
2610	4986	5549	5246	5252
2620	5019	5630	5300	5306
2630	5071	5680	5355	5362
2640	5106	5763	5411	5417
2650	5156	5809	5467	5471
2660	5194	5883	5522	5526
2670	5248	5934	5579	5582
2680	5284	6008	5631	5637
2690	5342	6057	5689	5692
2700	5381	6125	5745	5747
2710	5441	6185	5800	5802
2720	5484	6248	5854	5857
2730	5535	6297	5911	5913
2740	5580	6360	5967	5968
2750	5643	6409	6023	6024
2760	5686	6476	6078	6080
2770	5748	6517	6135	6135
2780	5794	6577	6191	6191
2790	5849	6628	6245	6246
2800	5900	6691	6301	6300
2810	5967	6734	6357	6356
2820	6016	6797	6414	6412
2830	6077	6840	6471	6468
2840	6125	6901	6530	6524
2850	6192	6942	6584	6581
2860	6241	7006	6641	6637
2870	6310	7047	6698	6692
2880	6358	7100	6753	6748
2890	6428	7144	6809	6803
2900	6481	7199	6866	6859
2910	6548	7233	6922	6915
2920	6602	7285	6981	6971
2930	6671	7327	7035	7026
2940	6726	7379	7093	7082
2950	6796	7412	7148	7137
2960	6850	7458	7206	7191
2970	6926	7490	7261	7248
2980	6984	7540	7319	7304
2990	7061	7572	7374	7359
3000	7124	7616	7432	7414
3010	7167	7664	7469	7453
3020	7204	7725	7502	7492
3030	7243	7772	7539	7530
3040	7280	7826	7574	7568
3050	7320	7876	7610	7607
3060	7355	7934	7645	7646
3070	7392	7977	7682	7684
3080	7425	8034	7718	7722
3090	7468	8077	7755	7760
3100	7497	8135	7791	7798
3110	7543	8176	7827	7836
3120	7574	8233	7864	7873
3130	7618	8273	7899	7911
3140	7653	8334	7935	7949
3150	7701	8377	7971	7987
3160	7735	8429	8007	8025
3170	7776	8472	8043	8063
3180	7807	8520	8079	8101
3190	7853	8565	8112	8138
3200	7884	8619	8148	8175
3210	7929	8661	8183	8213
3220	7962	8714	8218	8251
3230	8014	8765	8249	8288
3240	8050	8815	8283	8325
3250	8107	8859	8326	8372
3260	8140	8913	8372	8418
3270	8198	8968	8441	8482
3280	8236	9038	8509	8546
3290	8299	9093	8577	8611
3300	8340	9162	8647	8676
3310	8399	9221	8715	8741
3320	8444	9288	8783	8806
3330	8501	9342	8850	8871
3340	8545	9425	8916	8936
3350	8611	9481	8986	9002
3360	8656	9548	9052	9068
3370	8722	9605	9122	9134
3380	8771	9677	9190	9200
3390	8845	9730	9259	9266
3400	8893	9807	9326	9331
3410	8963	9856	9392	9396
3420	9006	9928	9457	9461
3430	9076	9976	9526	9527
3440	9132	10043	9593	9594
3450	9212	10096	9663	9661
3460	9275	10162	9730	9728
3470	9349	10210	9794	9793
3480	9404	10272	9861	9858
3490	9486	10316	9927	9924
3500	9550	10385	9997	9989
3510	9630	10426	10062	10055
3520	9693	10488	10129	10121
3530	9783	10531	10194	10186
3540	9845	10595	10260	10250
3550	9933	10634	10325	10316
3560	9993	10696	10392	10382
3570	10057	10741	10451	10440
3580	10113	10811	10509	10498
3590	10162	10871	10562	10549
3600	10204	10953	10610	10601
3610	10254	11012	10660	10652
3620	10299	11082	10708	10702
3630	10344	11146	10758	10753
3640	10380	11220	10806	10804
3650	10423	11275	10858	10854
3660	10458	11347	10907	10905
3670	10502	11406	10955	10955
3680	10544	11470	11003	11006
3690	10587	11531	11053	11055
3700	10624	11600	11101	11105
3710	10674	11665	11152	11156
3720	10708	11732	11202	11206
3730	10757	11786	11255	11258
3740	10804	11850	11306	11310
3750	10848	11905	11358	11360
3760	10889	11979	11407	11410
3770	10930	12032	11458	11461
3780	10967	12099	11506	11511
3790	11015	12143	11558	11562
3800	11056	12206	11608	11613
3810	11101	12266	11660	11663
