depth	min	max	median	mean
1770	264	1074	441	517
1771	295	1080	466	540
1772	324	1083	492	563
1773	352	1088	519	586
1774	376	1094	546	609
1775	398	1097	575	632
1776	419	1101	605	655
1777	434	1107	634	678
1778	452	1113	663	701
1779	465	1119	693	724
1780	478	1124	722	747
1781	491	1129	753	770
1782	505	1136	783	793
1783	518	1144	813	816
1784	529	1150	842	839
1785	538	1156	871	863
1786	547	1166	899	886
1787	556	1177	926	909
1788	565	1185	952	932
1789	576	1200	978	955
1790	587	1225	1002	978
1791	606	1228	1012	987
1792	627	1231	1021	996
1793	640	1234	1030	1005
1794	655	1238	1038	1014
1795	667	1242	1048	1023
1796	679	1246	1057	1032
1797	690	1251	1065	1042
1798	702	1256	1074	1051
1799	713	1261	1084	1060
1800	722	1268	1092	1069
1801	735	1275	1101	1078
1802	745	1286	1110	1087
1803	755	1293	1119	1096
1804	764	1304	1127	1105
1805	772	1319	1135	1114
1806	777	1330	1144	1123
1807	784	1347	1152	1132
1808	792	1360	1161	1142
1809	798	1378	1169	1151
1810	805	1394	1177	1160
1811	815	1398	1182	1165
1812	825	1401	1187	1170
1813	833	1404	1194	1175
1814	838	1410	1199	1181
1815	846	1415	1205	1186
1816	852	1420	1209	1191
1817	859	1425	1214	1196
1818	861	1428	1219	1201
1819	868	1432	1223	1207
1820	878	1438	1228	1212
1821	882	1443	1233	1217
1822	889	1448	1238	1222
1823	896	1455	1244	1228
1824	903	1461	1249	1233
1825	909	1468	1254	1238
1826	913	1474	1258	1243
1827	920	1482	1263	1248
1828	927	1490	1269	1254
1829	932	1498	1273	1259
1830	936	1507	1278	1264
1831	946	1510	1283	1269
1832	954	1513	1288	1275
1833	964	1516	1293	1280
1834	971	1519	1299	1285
1835	977	1523	1304	1291
1836	985	1528	1310	1296
1837	996	1531	1316	1301
1838	1001	1534	1321	1307
1839	1011	1539	1327	1312
1840	1017	1544	1332	1317
1841	1028	1547	1337	1323
1842	1034	1554	1342	1328
1843	1041	1558	1347	1334
1844	1048	1564	1353	1339
1845	1055	1569	1358	1344
1846	1060	1579	1362	1350
1847	1065	1586	1367	1355
1848	1070	1594	1372	1360
1849	1075	1601	1377	1366
1850	1081	1609	1382	1371
1851	1091	1612	1388	1376
1852	1100	1615	1392	1381
1853	1107	1619	1397	1386
1854	1114	1622	1402	1391
1855	1120	1627	1406	1397
1856	1126	1628	1411	1402
1857	1135	1633	1416	1407
1858	1141	1637	1421	1412
1859	1148	1642	1427	1417
1860	1152	1646	1432	1422
1861	1156	1651	1436	1427
1862	1162	1655	1441	1432
1863	1169	1660	1446	1437
1864	1174	1663	1451	1443
1865	1179	1669	1456	1448
1866	1187	1674	1461	1453
1867	1193	1679	1466	1458
1868	1197	1685	1471	1463
1869	1201	1691	1476	1468
1870	1204	1698	1481	1473
1871	1214	1701	1486	1479
1872	1227	1703	1491	1484
1873	1239	1706	1496	1489
1874	1247	1707	1500	1495
1875	1258	1711	1506	1500
1876	1267	1715	1511	1505
1877	1274	1716	1516	1511
1878	1282	1719	1522	1516
1879	1290	1725	1527	1522
1880	1297	1729	1533	1527
1881	1302	1731	1538	1532
1882	1311	1735	1542	1538
1883	1316	1739	1547	1543
1884	1320	1745	1553	1548
1885	1325	1750	1559	1554
1886	1332	1756	1565	1559
1887	1335	1763	1569	1564
1888	1342	1773	1574	1570
1889	1346	1781	1580	1575
1890	1351	1785	1586	1581
1891	1362	1788	1591	1586
1892	1374	1791	1595	1591
1893	1383	1792	1600	1596
1894	1392	1796	1604	1601
1895	1404	1800	1609	1607
1896	1412	1803	1614	1612
1897	1423	1806	1618	1617
1898	1430	1810	1623	1622
1899	1437	1814	1629	1628
1900	1443	1819	1634	1633
1901	1448	1822	1639	1638
1902	1455	1825	1644	1643
1903	1463	1834	1649	1648
1904	1469	1841	1654	1654
1905	1474	1851	1658	1659
1906	1478	1857	1664	1664
1907	1485	1862	1670	1669
1908	1489	1867	1674	1675
1909	1493	1875	1679	1680
1910	1499	1881	1684	1685
1911	1503	1885	1689	1690
1912	1509	1890	1693	1695
1913	1511	1894	1697	1700
1914	1516	1902	1702	1705
1915	1519	1906	1707	1710
1916	1523	1912	1712	1714
1917	1527	1920	1717	1719
1918	1532	1925	1722	1724
1919	1536	1931	1727	1729
1920	1538	1939	1733	1734
1921	1541	1946	1738	1739
1922	1544	1953	1742	1744
1923	1547	1960	1747	1749
1924	1549	1969	1751	1754
1925	1551	1981	1755	1759
1926	1552	1991	1759	1764
1927	1553	2000	1763	1769
1928	1555	2010	1768	1773
1929	1558	2020	1772	1778
1930	1560	2031	1777	1783
1931	1567	2035	1783	1788
1932	1573	2040	1788	1793
1933	1579	2043	1793	1798
1934	1585	2047	1798	1803
1935	1589	2051	1803	1808
1936	1593	2057	1809	1813
1937	1598	2063	1814	1818
1938	1603	2069	1818	1823
1939	1607	2075	1823	1828
1940	1612	2082	1828	1833
1941	1615	2090	1833	1838
1942	1618	2095	1838	1843
1943	1622	2101	1843	1848
1944	1624	2109	1848	1853
1945	1627	2116	1852	1858
1946	1633	2126	1857	1863
1947	1636	2137	1862	1868
1948	1639	2146	1866	1873
1949	1641	2158	1871	1878
1950	1644	2166	1875	1883
1951	1649	2169	1881	1888
1952	1657	2173	1885	1893
1953	1663	2174	1890	1899
1954	1669	2179	1895	1904
1955	1675	2184	1900	1909
1956	1680	2190	1906	1914
1957	1686	2194	1911	1919
1958	1692	2199	1917	1924
1959	1695	2206	1922	1930
1960	1700	2214	1927	1935
1961	1705	2221	1933	1940
1962	1708	2224	1939	1945
1963	1713	2229	1944	1950
1964	1717	2234	1949	1955
1965	1721	2240	1954	1961
1966	1725	2245	1959	1966
1967	1727	2250	1965	1971
1968	1730	2259	1969	1976
1969	1731	2268	1974	1981
1970	1734	2277	1978	1986
1971	1740	2281	1983	1991
1972	1745	2284	1987	1996
1973	1753	2287	1993	2002
1974	1757	2292	1998	2007
1975	1762	2295	2004	2012
1976	1769	2299	2009	2017
1977	1772	2303	2014	2022
1978	1774	2309	2019	2027
1979	1777	2317	2025	2032
1980	1781	2321	2030	2037
1981	1785	2327	2036	2042
1982	1789	2332	2042	2047
1983	1790	2340	2047	2052
1984	1794	2346	2053	2057
1985	1796	2353	2057	2062
1986	1800	2358	2063	2067
1987	1803	2366	2069	2072
1988	1805	2376	2073	2077
1989	1807	2383	2078	2082
1990	1809	2393	2084	2087
1991	1816	2396	2089	2092
1992	1819	2397	2094	2097
1993	1825	2398	2100	2102
1994	1830	2401	2104	2107
1995	1834	2405	2110	2112
1996	1840	2407	2115	2117
1997	1846	2412	2119	2122
1998	1851	2418	2124	2128
1999	1856	2423	2130	2133
2000	1859	2429	2135	2138
2001	1863	2435	2141	2143
2002	1866	2440	2147	2148
2003	1870	2445	2152	2153
2004	1873	2450	2158	2158
2005	1876	2456	2163	2163
2006	1878	2461	2168	2168
2007	1881	2469	2173	2173
2008	1883	2474	2179	2178
2009	1884	2482	2183	2184
2010	1886	2496	2189	2189
2011	1894	2497	2194	2194
2012	1900	2502	2199	2199
2013	1906	2505	2204	2204
2014	1912	2509	2208	2209
2015	1916	2511	2213	2214
2016	1919	2514	2218	2218
2017	1921	2517	2223	2223
2018	1925	2520	2228	2228
2019	1929	2522	2233	2233
2020	1933	2528	2238	2238
2021	1939	2533	2243	2243
2022	1942	2537	2249	2248
2023	1946	2544	2254	2253
2024	1950	2549	2259	2258
2025	1954	2556	2264	2263
2026	1958	2561	2269	2268
2027	1963	2567	2275	2273
2028	1966	2573	2280	2278
2029	1968	2580	2285	2283
2030	1971	2584	2289	2288
2031	1979	2588	2295	2293
2032	1985	2592	2300	2298
2033	1991	2599	2305	2304
2034	1996	2602	2310	2309
2035	2000	2607	2316	2314
2036	2006	2615	2321	2319
2037	2010	2621	2326	2324
2038	2016	2627	2331	2330
2039	2021	2631	2336	2335
2040	2028	2638	2340	2340
2041	2033	2642	2348	2345
2042	2038	2650	2353	2350
2043	2043	2653	2358	2356
2044	2046	2660	2363	2361
2045	2052	2666	2368	2366
2046	2055	2672	2373	2371
2047	2058	2680	2379	2376
2048	2062	2686	2385	2381
2049	2065	2693	2389	2387
2050	2069	2701	2393	2392
2051	2076	2704	2398	2397
2052	2083	2710	2403	2402
2053	2089	2713	2408	2407
2054	2094	2716	2413	2412
2055	2099	2720	2418	2417
2056	2105	2723	2423	2422
2057	2111	2726	2428	2427
2058	2114	2730	2434	2432
2059	2119	2733	2439	2437
2060	2127	2738	2444	2442
2061	2132	2740	2449	2447
2062	2137	2745	2454	2452
2063	2140	2752	2460	2457
2064	2145	2755	2465	2462
2065	2149	2759	2471	2467
2066	2153	2764	2477	2472
2067	2156	2769	2481	2477
2068	2159	2778	2486	2482
2069	2164	2785	2492	2488
2070	2169	2793	2496	2493
2071	2172	2795	2502	2498
2072	2180	2797	2506	2503
2073	2184	2801	2511	2508
2074	2189	2804	2516	2513
2075	2197	2806	2522	2518
2076	2202	2809	2526	2523
2077	2209	2812	2531	2528
2078	2213	2815	2538	2533
2079	2221	2817	2543	2538
2080	2225	2822	2549	2544
2081	2228	2826	2555	2549
2082	2235	2830	2559	2554
2083	2237	2833	2565	2559
2084	2242	2838	2570	2564
2085	2247	2841	2576	2569
2086	2251	2847	2581	2574
2087	2253	2851	2586	2579
2088	2259	2856	2592	2584
2089	2264	2862	2597	2590
2090	2270	2871	2602	2595
2091	2276	2873	2608	2600
2092	2284	2877	2613	2605
2093	2295	2881	2619	2610
2094	2304	2883	2624	2616
2095	2310	2886	2628	2621
2096	2315	2887	2634	2626
2097	2324	2891	2640	2632
2098	2328	2896	2645	2637
2099	2334	2899	2650	2642
2100	2344	2905	2655	2647
2101	2346	2912	2661	2653
2102	2350	2917	2667	2658
