labID,age,error,depth,cc,dR,dSTD,ta,tb
Carlet_8,1560,30,74,2,0,0,3,4
Carlet_10,1600,30,142,2,0,0,3,4
Carlet_11,1630,30,167,2,0,0,3,4
Carlet_12,1700,30,183,2,0,0,3,4
Carlet_13,1770,30,190,2,0,0,3,4
Carlet_16,2000,30,378,2,0,0,3,4
Carlet_30,2980,30,1041,2,0,0,3,4
Carlet_36,4062,30,1185,2,0,0,3,4
Carlet_37,4162,30,1198,2,0,0,3,4
Carlet_44,6262,30,1359,2,0,0,3,4
Carlet_48,7270,30,1473,2,0,0,3,4
Carlet_50,7402,30,1523,2,0,0,3,4
Carlet_52,7422,30,1570,2,0,0,3,4
Carlet_54,7502,30,1620,2,0,0,3,4
