depth	min	max	median	mean
414	-72	58	-52	-42
419	-69	62	-48	-38
424	-67	66	-43	-33
429	-64	71	-39	-29
434	-61	76	-34	-24
439	-58	81	-30	-20
444	-55	87	-25	-16
449	-52	93	-20	-11
454	-49	99	-15	-7
459	-45	102	-11	-2
464	-43	107	-6	2
469	-39	113	-2	6
474	-36	117	3	11
479	-33	122	7	15
484	-29	128	12	19
489	-25	134	16	24
494	-22	139	21	28
499	-19	142	25	33
504	-15	147	30	37
509	-11	153	35	41
514	-7	159	39	46
519	-3	164	43	50
524	0	169	48	55
529	4	175	52	59
534	8	180	56	63
539	12	184	61	68
544	15	189	66	72
549	18	194	70	76
554	21	199	74	81
559	25	204	78	85
564	29	208	82	89
569	33	214	86	93
574	36	220	90	97
579	40	225	94	101
584	43	232	98	105
589	47	237	102	109
594	50	243	107	113
599	54	248	110	117
604	58	253	115	122
609	62	258	119	126
614	66	264	123	130
619	71	270	127	134
624	75	275	131	138
629	79	280	135	142
634	82	284	139	146
639	85	291	143	150
644	89	295	148	155
649	93	301	152	159
654	96	309	156	163
659	101	314	160	167
664	105	321	164	171
669	109	325	168	175
674	112	330	172	179
679	116	334	176	184
684	120	338	180	188
689	124	345	184	192
694	127	351	188	196
699	131	356	191	200
704	135	361	196	204
709	139	365	199	208
714	142	371	204	212
719	146	376	208	216
724	150	381	211	220
729	154	384	216	225
734	157	388	220	229
739	162	393	224	233
744	166	399	228	237
749	170	406	233	241
754	173	411	237	245
759	178	416	241	249
764	181	421	245	253
769	187	425	249	258
774	190	429	253	262
779	195	435	257	266
784	198	439	261	270
789	202	445	265	274
794	206	449	269	278
799	210	454	273	282
804	214	458	277	286
809	218	464	281	290
814	222	468	284	294
819	225	474	288	298
824	228	479	292	303
829	233	483	297	307
834	237	489	301	311
839	241	494	305	315
844	246	499	309	319
849	249	506	313	323
854	253	510	317	327
859	256	515	321	331
864	260	520	325	335
869	264	525	329	339
874	267	528	333	343
879	272	532	337	347
884	276	537	341	351
889	280	542	345	355
894	284	548	349	359
899	288	555	353	363
904	291	561	357	367
909	295	564	361	371
914	299	571	365	375
919	303	578	369	380
924	307	584	373	384
929	311	589	377	388
934	315	593	381	392
939	319	601	385	396
944	324	609	389	400
949	329	613	393	404
954	333	615	397	408
959	337	620	401	412
964	341	625	405	417
969	345	629	409	421
974	349	635	413	425
979	353	638	416	429
984	357	643	420	433
989	362	651	425	437
994	365	655	429	441
999	371	660	433	445
1004	374	664	436	449
1009	379	669	440	453
1014	382	675	444	457
1019	387	679	448	461
1024	391	684	452	466
1029	397	690	457	470
1034	401	693	461	474
1039	405	699	465	478
1044	408	703	469	483
1049	413	713	473	487
1054	416	718	477	491
1059	420	722	482	496
1064	424	726	486	500
1069	428	730	491	504
1074	432	736	495	509
1079	436	741	499	513
1084	440	746	504	517
1089	444	751	508	522
1094	448	755	512	526
1099	453	760	517	530
1104	457	765	521	534
1109	462	771	525	539
1114	464	774	529	543
1119	469	780	534	547
1124	472	784	538	552
1129	477	791	542	556
1134	482	794	547	560
1139	487	799	551	565
1144	491	803	555	569
1149	495	810	560	574
1154	499	816	564	578
1159	503	821	568	582
1164	508	825	572	587
1169	512	828	577	591
1174	516	834	581	595
1179	520	839	586	600
1184	523	844	590	604
1189	527	847	594	608
1194	530	850	599	613
1199	536	856	603	617
1204	540	864	607	622
1209	544	868	611	626
1214	548	871	616	630
1219	551	876	620	635
1224	555	881	625	639
1229	559	888	629	644
1234	563	894	633	648
1239	568	899	638	652
1244	573	904	642	657
1249	576	908	646	661
1254	580	911	651	665
1259	585	915	655	670
1264	589	918	660	674
1269	593	927	664	678
1274	596	932	668	683
1279	601	935	672	687
1284	604	939	677	691
1289	608	942	681	696
1294	612	944	686	700
1299	616	949	690	704
1304	620	956	694	709
1309	624	962	698	713
1314	629	968	702	717
1319	634	974	707	722
1324	638	981	712	726
1329	641	985	716	730
1334	645	991	720	734
1339	651	994	724	739
1344	655	998	729	743
1349	660	1003	733	748
1354	665	1010	737	752
1359	669	1014	742	756
1364	672	1020	746	761
1369	676	1024	750	765
1374	679	1027	754	769
1379	684	1034	758	774
1384	687	1039	762	778
1389	692	1045	767	782
1394	695	1049	770	787
1399	700	1055	775	791
1404	704	1058	779	795
1409	708	1063	784	800
1414	712	1067	788	804
1419	717	1073	792	808
1424	720	1078	797	813
1429	724	1081	802	818
1434	729	1088	807	823
1439	735	1096	812	827
1444	738	1102	817	832
1449	742	1106	821	837
1454	746	1109	826	841
1459	750	1116	831	846
1464	753	1124	836	851
1469	758	1129	841	856
1474	762	1133	846	860
1479	768	1138	851	865
1484	773	1141	856	870
1489	777	1144	861	874
1494	781	1148	866	879
1499	786	1154	871	884
1504	790	1159	876	889
1509	794	1163	881	894
1514	800	1167	886	899
1519	805	1173	890	904
1524	809	1179	895	909
1529	814	1182	900	914
1534	819	1190	905	919
1539	824	1192	911	924
1544	828	1198	916	929
1549	832	1201	921	934
1554	836	1205	926	939
1559	841	1210	930	944
1564	845	1216	935	948
1569	850	1219	939	953
1574	855	1222	944	958
1579	860	1226	949	963
1584	865	1231	954	967
1589	870	1236	958	972
1594	875	1242	963	977
1599	880	1246	968	982
1604	885	1249	973	986
1609	890	1257	978	991
1614	893	1262	982	996
1619	898	1269	987	1000
1624	902	1276	991	1005
1629	907	1279	996	1009
1634	911	1286	1000	1014
1639	916	1291	1005	1019
1644	921	1299	1010	1023
1649	926	1305	1014	1028
1654	929	1310	1019	1033
1659	934	1315	1024	1038
1664	939	1322	1028	1042
1669	944	1326	1033	1047
1674	947	1328	1038	1052
1679	954	1335	1043	1056
1684	959	1339	1047	1061
1689	962	1344	1052	1066
1694	966	1350	1057	1071
