depth	min	max	median	mean
414	-72	22	-53	-45
419	-69	26	-49	-41
424	-68	29	-44	-37
429	-64	35	-39	-32
434	-62	40	-34	-28
439	-58	45	-29	-23
444	-56	50	-25	-19
449	-52	55	-20	-15
454	-49	57	-16	-10
459	-45	62	-10	-6
464	-43	68	-6	-1
469	-39	72	-2	3
474	-36	77	3	8
479	-31	81	7	12
484	-28	86	12	16
489	-25	91	16	21
494	-22	96	21	25
499	-17	101	25	29
504	-15	106	30	34
509	-11	110	34	38
514	-7	115	39	42
519	-3	120	44	47
524	-1	124	48	51
529	4	130	53	55
534	7	135	56	60
539	11	138	60	64
544	14	142	65	68
549	18	146	69	72
554	21	151	73	76
559	25	155	77	80
564	29	159	81	84
569	33	163	85	88
574	35	169	90	93
579	39	174	93	97
584	43	177	98	101
589	47	180	102	105
594	51	184	106	109
599	54	189	111	113
604	58	193	115	117
609	62	198	119	121
614	66	202	123	125
619	70	205	127	129
624	73	210	131	134
629	78	212	135	138
634	81	217	139	142
639	85	221	144	146
644	89	224	147	150
649	93	230	151	154
654	96	235	155	158
659	101	239	159	162
664	104	243	163	166
669	108	248	168	170
674	111	253	172	174
679	116	257	176	178
684	119	263	180	182
689	123	268	185	186
694	127	271	188	191
699	131	275	193	195
704	135	280	197	199
709	139	284	201	203
714	142	290	205	207
719	146	293	209	211
724	149	296	213	215
729	153	300	217	219
734	157	303	221	223
739	161	308	225	227
744	165	313	229	231
749	168	317	233	235
754	171	320	238	239
759	176	326	242	244
764	181	330	246	248
769	185	334	250	252
774	189	339	254	256
779	193	343	257	260
784	196	349	261	264
789	200	353	266	268
794	204	356	270	272
799	209	361	274	276
804	213	365	278	280
809	217	370	282	284
814	221	373	286	288
819	225	379	290	292
824	229	383	294	296
829	234	386	298	300
834	237	390	302	304
839	240	395	306	308
844	244	399	310	312
849	248	403	314	317
854	251	407	318	321
859	255	410	322	325
864	260	415	327	329
869	263	419	331	333
874	267	424	334	337
879	271	428	339	341
884	274	432	343	345
889	279	435	346	349
894	283	439	351	353
899	287	443	355	357
904	291	446	359	361
909	296	449	363	365
914	301	454	367	369
919	305	457	371	373
924	309	461	375	377
929	313	465	379	381
934	317	470	383	385
939	322	473	387	390
944	326	478	391	394
949	330	480	395	398
954	333	485	399	402
959	338	489	403	406
964	342	492	407	410
969	346	498	411	414
974	349	503	415	418
979	354	506	419	422
984	357	509	423	426
989	361	514	427	430
994	365	520	431	434
999	369	524	435	438
1004	374	527	439	442
1009	378	531	443	446
1014	382	535	447	451
1019	387	542	451	455
1024	390	547	455	459
1029	394	551	459	463
1034	399	556	463	467
1039	403	561	467	471
1044	406	565	472	475
1049	410	567	476	480
1054	414	574	480	484
1059	419	578	484	488
1064	423	584	489	493
1069	429	587	493	497
1074	433	589	497	501
1079	437	593	502	506
1084	441	598	506	510
1089	445	601	510	514
1094	449	607	514	519
1099	453	611	518	523
1104	457	616	523	527
1109	461	620	527	532
1114	465	626	531	536
1119	470	630	536	540
1124	475	635	540	545
1129	480	638	544	549
1134	484	642	548	553
1139	488	647	553	558
1144	492	653	557	562
1149	494	656	562	566
1154	498	661	566	571
1159	502	666	570	575
1164	507	671	575	579
1169	511	675	579	583
1174	515	679	584	588
1179	519	684	588	592
1184	524	690	592	597
1189	528	694	597	601
1194	532	698	602	605
1199	537	702	606	610
1204	541	708	610	614
1209	545	711	615	618
1214	549	715	619	623
1219	554	722	624	627
1224	557	726	628	632
1229	563	730	632	636
