"","depth","age_calyr","upper_age","lower_age","Brizalina.variabilis","Nonionella.atlantica","Planorbulina.mediterranensis","Massilina.secans","Bulimina.gibba","Adelosina.striata","Haynesina.germanica","Miliolinella.subrotunda","Elphidium.crispum","Quinqueloculina.lata","Trichohyalus.aguayoi","Cibicides.lobatulus","Adelosina.laevigata","Aubignyna.hamblensis","Bulimina.elongata","Rosalina.anomala","Cribroelphidium.excavatum","Rosalina.irregularis","Triloculina.trigonula","Triloculina.marioni","Quinqueloculina.seminula","Cribroelphidium.selseyensis","Ammonia.beccarii"
"1",142,969,864,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",167,1053,963,1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",183,1109,1020,1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4",190,1135,1040,1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5",215,1223,1108,1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"6",640,2970,2643,3327,5,NA,6,5,6,NA,NA,NA,3,2,NA,17,7,3,1,31,6,10,10,7,32,53,138
"7",690,3194,2850,3555,NA,NA,NA,4,NA,1,2,NA,NA,4,NA,8,9,1,NA,7,NA,5,4,8,28,15,45
"8",854,3926,3566,4300,NA,NA,3,2,1,NA,1,NA,NA,5,1,5,2,1,1,2,2,1,9,5,26,18,42
"9",873,4010,3645,4391,NA,NA,2,2,NA,2,1,NA,1,NA,NA,5,3,1,2,12,NA,NA,NA,20,34,17,59
"10",1041,4757,4392,5158,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,12,12,2,15,7,46
"11",1116,5111,4759,5495,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,6,NA,1,NA,4,NA,NA,NA,4,40,102
"12",1135,5203,4852,5601,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,1,NA,NA,NA,1,2,4,118,199
"13",1247,5819,5511,6147,NA,NA,NA,NA,1,NA,NA,11,6,NA,NA,NA,1,NA,NA,NA,6,15,NA,NA,27,82,158
"14",1259,5896,5600,6213,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,23,23,274
"15",1284,6055,5768,6352,3,3,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,10,10,2,NA,NA,3,5,19,32,43
"16",1309,6214,5959,6469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,12,127
"17",1334,6374,6149,6610,NA,NA,NA,NA,1,NA,11,2,NA,NA,2,2,NA,NA,1,NA,14,9,3,NA,9,4,265
"18",1359,6537,6360,6732,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,7,132
"19",1405,6859,6651,7077,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,1,NA,NA,10,NA,3,NA,12,56,246
"20",1430,7034,6823,7246,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2,3,NA,14,NA,NA,NA,41,60,197
"21",1455,7207,6992,7393,1,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,3,7,NA,NA,NA,6,4,NA,7,47,252
"22",1473,7332,7121,7491,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,52,276
"23",1498,7448,7267,7587,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,9,50,184
"24",1523,7562,7412,7684,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,105
"25",1548,7649,7512,7779,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,2,1,1,NA,9,13,111
"26",1570,7725,7606,7857,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,3,3,NA,NA,12,14,119
"27",1595,7817,7690,7974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,29,297
"28",1620,7910,7777,8095,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,9,95
"29",1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,3,1,7,NA,5,22,280
"30",1670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,324
"31",1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,10,87
