Year CE,mm a-1,1s,P>0
-7950,8.75,0.9,1
-7850,8.6,0.9,1
-7750,8.5,0.9,1
-7650,8.35,0.9,1
-7550,8.25,0.9,1
-7450,8.1,0.9,1
-7350,7.95,0.9,1
-7250,7.8,0.9,1
-7150,7.7,0.9,1
-7050,7.6,0.8,1
-6950,7.5,0.8,1
-6850,7.4,0.8,1
-6750,7.35,0.8,1
-6650,7.2,0.8,1
-6550,7,0.8,1
-6450,6.8,0.8,1
-6350,6.55,0.8,1
-6250,6.3,0.8,1
-6150,6,0.8,1
-6050,5.75,0.8,1
-5950,5.45,0.8,1
-5850,5.25,0.8,1
-5750,5.05,0.8,1
-5650,4.85,0.8,1
-5550,4.6,0.8,1
-5450,4.25,0.8,1
-5350,3.9,0.8,1
-5250,3.55,0.8,1
-5150,3.3,0.8,1
-5050,3.1,0.8,1
-4950,2.95,0.8,1
-4850,2.75,0.8,1
-4750,2.6,0.8,1
-4650,2.4,0.8,1
-4550,2.25,0.8,1
-4450,2.1,0.8,1
-4350,1.95,0.8,1
-4250,1.85,0.8,1
-4150,1.75,0.8,1
-4050,1.65,0.8,1
-3950,1.5,0.8,1
-3850,1.35,0.8,1
-3750,1.25,0.8,1
-3650,1.15,0.8,0.9
-3550,1.1,0.8,0.9
-3450,1.05,0.8,0.9
-3350,1.05,0.8,0.9
-3250,1,0.8,0.9
-3150,1,0.8,0.9
-3050,1,0.8,0.9
-2950,1,0.7,0.9
-2850,1,0.7,0.9
-2750,1,0.7,0.9
-2650,0.95,0.7,0.9
-2550,0.85,0.7,0.9
-2450,0.8,0.7,0.9
-2350,0.75,0.7,0.8
-2250,0.65,0.7,0.8
-2150,0.5,0.7,0.8
-2050,0.45,0.7,0.7
-1950,0.45,0.7,0.7
-1850,0.45,0.7,0.7
-1750,0.5,0.7,0.7
-1650,0.5,0.7,0.8
-1550,0.5,0.7,0.8
-1450,0.55,0.7,0.8
-1350,0.55,0.7,0.8
-1250,0.55,0.7,0.8
-1150,0.55,0.7,0.8
-1050,0.55,0.7,0.8
-950,0.5,0.7,0.8
-850,0.5,0.7,0.8
-750,0.5,0.7,0.8
-650,0.5,0.7,0.8
-550,0.5,0.7,0.8
-450,0.45,0.7,0.7
-350,0.4,0.7,0.7
-250,0.4,0.7,0.7
-150,0.4,0.7,0.7
-50,0.4,0.7,0.7
50,0.4,0.7,0.7
150,0.4,0.7,0.7
250,0.4,0.7,0.7
350,0.4,0.7,0.7
450,0.35,0.7,0.7
550,0.3,0.7,0.7
650,0.3,0.7,0.7
750,0.3,0.7,0.7
850,0.3,0.7,0.7
950,0.4,0.7,0.7
1050,0.45,0.7,0.7
1150,0.45,0.7,0.7
1250,0.45,0.7,0.7
1350,0.45,0.7,0.7
1450,0.45,0.7,0.8
1550,0.5,0.7,0.8
1650,0.5,0.7,0.8
1750,0.65,0.6,0.8
1850,0.75,0.6,0.9
1950,1.05,0.6,1
