section;sample_id;depth;Eggerelloides scaber;Haplophragmoides wilberti;Jadammina macrescens;Textularia agglutinans;Textularia bocki;Textularia calva;Textularia tenuissima;Textularia sp.;Ammobaculites cf arenaria;Trochammina inflata;Adelosina bicornis;Adelosina laevigata;Adelosina mediterranensis;Adelosina sp.;Cornuloculina sp.;Cornuspira incerta;Cornuspira involvens;Lachlanella undulata;Massilina secans;Miliolinella subrotunda;Miliolid undetermined;Pyrgo inornata;Pyrgo sp.;Spiroloculina canaliculata;Quinqueloculina depressa;Quinqueloculina lata;Quinqueloculina longirostra;Quinqueloculina oblonga;Quinqueloculina seminula;Quinqueloculina stelligera;Quinqueloculina vulgaris;Quinqueloculina sp.1;Quinqueloculina sp.2;Triloculina dubia;Triloculina marioni;Triloculina trigonula;Triloculina sp;Triloculina rotunda;Amphicoryna scalaris;Acervulina inhaerens;Ammonia tepida;Ammonia beccarii;Astacolus crepidulus;Asterigerinata mamilla;Aubignyna perlucida;Bolivina difformis;Bolivina alata;Bolivina dilatata;Bolivina pseudoplicata;Bolivina striatula;Bolivinellina pseudopunctata;Brizalina spathulata;Brizalina iraensis;Brizalina variabilis;Buccella granulata;Bulimina aculeata;Bulimina elongata;Bulimina gibba;Bulimina marginata;Buliminella elegantissima;calcareous undt;Cassidulina carinata;Cassidulina obtusa;Cibicides lobulatus;Cibicides sp.;Cribroelphidium sp (cf excavatum);Cribroelphidium sp.;Cribroelphidium magellanicum;Cribroelphidium oceanensis;Cribroelphidium cf poeyanum;Cribroelphidium selseyense;Cribroelphidium williamsoni;Elphidium advenum;Elphidium crispum;Elphidium excavatum;Elphidium earlandi;Elphidium flexuosum;Elphidium gerthi;Elphidium incertum;Elphidium macellum;Elphidium margaritaceum;Elphidium sp.;Epistominella vitrea;Favulina melo;Fissurina lucida;Fissurina marginata;Fissurina sp.;Fursenkoina schreibersiana ;Gavelinopsis praegeri;Globobulimina sp.;Haynesina depressula;Haynesina germanica;Hopkinsina pacifica;Lagena semistriata;Lagena sulcata;Lagena vulgaris;Nonionella opima;Nonionella sp;Nonionoides boeanum;Nonionoides turgida;Planorbulina mediterranensis;Patellina corrugata;Rectuvigerina compressa;Reussella aculeata;Reussoolina laevis;Rosalina anomala;Rosalina globularis;Rosalina concinna;Rosalina irregularis;Rosalina valvulata;Rosalina williamsoni;Rosalina sp.1;Rosalina sp.2;Spirillina vivipara;Svratkina sp.;Tretomphaloides concinnus;Trichohyalus aguayoi;Trifarina angulosa;Uvigerina sp.;Uvigerina peregrina;Valvulineria bradyana;Planktic
C1;S2_C1_0.6_1.2T;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_0.6_1.2M30cm;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_0.6_1.2B;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_1.2_1.8B50;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_1.2_1.8T;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_2.4_3.0B50;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1;S2_C1_2.4_3.0B56;2,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_3.0-3.6Indet;3,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_4.2-4.8Indet;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_4.8-5.4T;5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
