depth,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb,LE
1.5,26043.08,198440.98,,5223.84,148508.84,1762.84,250.56,15433.43,,29.63,,33.94,277.86,18.81,62.94,,12.89,603874.94
1.8,45974.54,137373.86,282.78,11477.01,123268.63,2591.63,413.3,28664.33,37.17,63.23,8.88,74.39,322.18,15.67,103.1,11.91,27.52,648968.08
2.1,13151.45,113843.74,,5741.64,127299.38,1786.55,325.35,19293.89,28.74,29.93,11.81,39.97,310.16,16.36,55.71,25.61,23.23,717938.52
2.4,56544.02,159156.59,,12263.55,143582.22,2966.21,554.89,32199.46,32.24,50.91,18.24,81.51,332.66,18.26,106.41,11.84,13.62,591949.62
2.7,57890.39,149116.92,,15179.61,130196.85,2753.96,522.71,35990.15,27.54,73.23,9.74,106.66,298.7,20.99,75.68,16.5,24.13,607437.01
3,37330.85,156208.72,,11038.83,170365.04,3985.51,455.72,30722.94,39.01,56.8,12.19,98.1,357.82,31.23,151.9,21.99,16.95,589025.37
4.2,59015.97,171122.58,,14158.59,131179.04,3649.08,520.47,33972.65,35.83,75.73,,113.58,336.67,23.26,136.42,15.78,14.88,585161.9
4.5,68020.05,173890.82,711.62,16645.56,156580.68,3477.26,541.84,37157.53,37.86,69.56,10.84,90.02,319.58,23.45,123.24,18.86,24.71,530535.28
4.8,37648.41,160854.07,775.39,8682.54,134017.23,3008.09,398.04,25306.07,32.35,38.85,10.28,61.08,293.3,18.33,149.96,12.47,14.55,628656.36
5.1,40811.15,215907.88,,8169.79,117374.68,1757.61,304.8,22008.8,,33.11,6.82,45.8,213.19,6.91,56.85,,10.74,592969.65
5.4,39261.31,172114.35,2853.85,8743.49,133330.24,2033.43,300.22,21179.75,,35.92,9.34,50.78,257.39,13.55,118.07,,9.39,607543.1
5.7,29414.82,209164.27,970.28,8405.59,104097.82,1898.99,278.36,19281.77,19.66,27.39,8.52,51.42,196.85,12.67,57.28,6.98,7.44,626057.64
6,18644.39,104510.66,726.37,4941.48,64731.74,926.27,168.74,16065.9,15.83,16.91,6.9,38.27,139.11,11.44,42.47,,12.25,768685.5
6.9,24806.13,192468.31,,6265.74,97720.05,1442.58,277.75,18161.84,,24.72,,50.02,208.58,10.01,49.84,,13.88,658500.55
