"","depth","age_calyr","upper_age","lower_age","Bulimina.aculeata","Elphidium.crispum","Cibicides.sp.","Textularia.bocki","Quinqueloculina.depressa","Triloculina.dubia","Textularia.sp.","Miliolid.undetermined","Rosalina.anomala","Nonionoides.turgida","Reussoolina.laevis","Buccella.granulata","Lachlanella.undulata","Reussella.aculeata","Cornuspira.involvens","Bulimina.elongata","Bolivina.difformis","Cibicides.lobatulus","Fissurina.marginata","Elphidium.incertum","Quinqueloculina.lata","Haynesina.depressula","Spirillina.vivipara","Fissurina.sp.","Bolivina.dilatata","Fissurina.lucida","Textularia.agglutinans","Elphidium.gerthi","Rosalina.sp.1","Quinqueloculina.longirostra","Brizalina.spathulata","Bolivina.pseudoplicata","Nonionella.opima","Triloculina.rotunda","Tretomphaloides.concinnus","Elphidium.sp.","Acervulina.inhaerens","Svratkina.sp.","Miliolinella.subrotunda","Rosalina.valvulata","Bulimina.gibba","Aubignyna.perlucida","Quinqueloculina.oblonga","Adelosina.laevigata","Quinqueloculina.sp.1","Rosalina.irregularis","Quinqueloculina.stelligera","Valvulineria.bradyana","Bolivinellina.pseudopunctata","Brizalina.variabilis","Cribroelphidium.poeyanum","Quinqueloculina.seminula","Asterigerinata.mamilla","Haynesina.germanica","Cribroelphidium.oceanensis","Cribroelphidium.selseyensis","Ammonia.beccarii"
"1",414,-40,-72,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4,1,NA,1,NA,NA,4,6,48,NA,108,46,20,231
"2",434,-23,-62,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,NA,4,NA,1,2,NA,38,NA,79,29,14,324
"3",484,20,-29,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,10,NA,16,NA,NA,2,NA,58,NA,62,64,19,242
"4",496,30,-20,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,7,NA,NA,NA,NA,4,NA,108,125,21,224
"5",503,36,-16,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1,3,NA,3,NA,80,120,24,249
"6",524,54,-3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,133,37,2,151
"7",549,75,16,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,4,10,1,NA,13,160,NA,133
"8",569,91,30,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,69,NA,NA,NA,23,26,8,191
"9",589,106,44,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,46,NA,1,NA,23,42,14,195
"10",676,175,107,251,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,NA,30,3,1,NA,14,34,43,116
