Sample,Depth (cm),Eggerelloides scaber,Haplophragmoides wilberti,Jadammina macrescens,Textularia agglutinans,Textularia bocki,Textularia calva,Textularia sp.,Trochammina inflata,Adelosina bicornis,Adelosina laevigata,Adelosina mediterranensis,Adelosina sp.,Cornuloculina sp.,Cornuspira incerta,Cornuspira involvens,Lachlanella undulata,Massilina secans,Miliolinella subrotunda,Miliolid undetermined,Pyrgo inornata,Pyrgo sp.,Quinqueloculina depressa,Quinqueloculina lata,Quinqueloculina longirostra,Quinqueloculina oblonga,Quinqueloculina seminula,Quinqueloculina stelligera,Quinqueloculina vulgaris,Quinqueloculina sp.1,Quinqueloculina sp.2,Triloculina dubia,Triloculina marioni,Triloculina rotunda,Acervulina inhaerens,Ammonia beccarii,Astacolus crepidulus,Asterigerinata mamilla,Aubignyna perlucida,Bolivina difformis,Bolivina dilatata,Bolivina pseudoplicata,Bolivina striatula,Bolivinellina pseudopunctata,Brizalina spathulata,Brizalina variabilis,Buccella granulata,Bulimina aculeata,Bulimina elongata,Bulimina gibba,Bulimina marginata,Buliminella elegantissima,Cassidulina carinata,Cassidulina obtusa,Cibicides lobulatus,Cibicides sp.,Cribroelphidium magellanicum,Cribroelphidium oceanensis,Cribroelphidium poeyanum,Cribroelphidium selseyense,Cribroelphidium williamsoni,Elphidium advenum,Elphidium crispum,Elphidium earlandi,Elphidium flexuosum,Elphidium gerthi,Elphidium incertum,Elphidium macellum,Elphidium margaritaceum,Elphidium sp.,Epistominella vitrea,Favulina melo,Fissurina lucida,Fissurina marginata,Fissurina sp.,Fursenkoina schreibersiana ,Gavelinopsis praegeri,Globobulimina sp.,Haynesina depressula,Haynesina germanica,Lagena semistriata,Lagena sulcata,Lagena vulgaris,Nonionella opima,Nonionoides turgida,Patellina corrugata,Rectuvigerina compressa,Reussella aculeata,Reussoolina laevis,Rosalina anomala,Rosalina globularis,Rosalina irregularis,Rosalina valvulata,Rosalina williamsoni,Rosalina sp.1,Rosalina sp.2,Spirillina vivipara,Svratkina sp.,Tretomphaloides concinnus,Trifarina angulosa,Uvigerina peregrina,Valvulineria bradyana
1,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
2,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
4,-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
5,-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
8,-286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
9,-334,,,,,,,,,,*,,,,,,,,,,,,,,,,*,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,*,,,,,,,,,,*,,,,,,,,,,,,*,,,,,,,,,,
10,-354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
11,-374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,*,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
13,-414,,,,,,,,,,0.9,,,,,,,,0.2,,,,,3.6,,,9.6,0.2,,0.2,,,,,,46.2,,,0.2,,,,,,,0.7,,,,,,0.2,,,,,,9.2,1.3,4.0,,,,,,1.8,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,
14,-434,,,,,,,,,,0.5,,,,,,,,,,,,,,,,7.6,0.9,,0.7,,,,,,64.8,,,0.2,,,,,0.2,,0.4,,,,,,,,,,,,5.8,,2.9,,,,,,0.2,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,
15,-484,,,,,,,,,,0.6,,,,,,,1.0,0.4,,,,,1.6,,,11.5,3.2,,2.0,0.6,,,,,48.3,,,,,,,,,,0.4,,,,,,0.2,,,,,,12.9,,3.8,,,,,,0.2,0.2,,,,,,,,,,,,0.2,12.5,,,,,,,,,,,,,,,,,,,,,,
16,-496,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,0.8,1.4,,0.2,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,25.0,,4.2,0.2,,,,,0.6,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,
17,-503,,,,,,,,,,0.2,,,,,,,,,,,,,,,,0.6,,,1.2,,,,,,49.8,,,,,,,,0.2,,0.6,,,,,,0.8,,,,,,24.0,,4.9,1.8,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,
18,-524,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,45.2,,,,,,,,,,0.3,,,,,,,,,,,,11.0,,0.6,,,,,,,,,,,,,,,,,,,0.3,40.0,,,,,,,,,,,,,,,,,,,,,,
19,-549,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,,,,,,,,,39.8,,,3.3,,,,,,,1.2,,,,,,,,,,,,48.1,3.0,,0.3,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,
20,-569,,,,,,,,,,0.8,,,,,,,,,,,,,3.1,,,,,,,,,,,,57.3,0.3,,0.5,,,,,,,20.7,,,,,,,,,,,,7.7,,2.3,0.5,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,
21,-589,,,0.7,,,,,,,1.0,,,,,,,,,,,,,,,,0.3,,,,,,,,,58.4,,,1.4,0.3,,,,,,13.7,,,,,,,,,,,,12.7,,4.1,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,0.3,,
