depth,sand
-73,1.37
-93,0.06
-113,0.93
-122,26.69
-133,14.59
-246,55.89
-266,21.50
-286,48.19
-334,98.20
-354,3.70
-374,3.73
-394,0.26
-414,0.25
-434,0.76
-484,0.50
-496,0.80
-503,1.60
-524,5.27
-549,0.79
-569,0.34
-589,0.10
-676,0.26
-696,0.23
-716,0.21
-826,0.46
-766,1.99
-786,0.18
-806,1.54
-826,1.32
-846,3.28
-866,0.21
-886,1.16
-910,0.97
-930,0.69
-950,7.16
-970,0.89
-990,0.11
-1010,0.44
-1030,0.22
-1068,0.24
-1088,2.88
-1108,0.23
-1128,8.91
-1133,80.14
-1143,65.84
-1168,1.74
-1188,0.61
-1218,0.89
-1238,1.94
-1258,4.07
-1278,0.22
-1298,0.18
-1318,0.47
-1338,1.42
-1368,0.62
-1388,0.57
-1408,0.99
-1428,1.15
-1448,0.29
-1468,2.46
-1488,1.13
-1529,1.64
-1549,0.78
-1569,1.36
-1589,1.16
-1609,0.29
-1629,0.79
-1711,0.84
-1731,1.54
-1751,0.42
-1771,0.90
-1791,0.21
-1818,2.83
-1838,10.16
-1858,17.89
-1878,1.09
-1898,1.45
-1918,4.63
-1938,19.13
-1969,0.28
-1989,0.74
-2009,5.95
-2029,5.50
-2049,4.76
-2069,3.38
-2089,3.39
