Sample,Site,Habitat,Period,Water depth,Sand,Salinity,OM,T,pH,DO,PO43–-P,NH4+-N,NO2–-N,NO3–-N,SiO44–-Si,Chl-a,PO43–-P
,,,,m,%,ppt,%,ºC,,%,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
1M-1,South bay,marine,APR67',6,20,38.9,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-2,South bay,marine,JUL68',6,25,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-3,South bay,marine,JUL68',8,8,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-4,South bay,marine,JUL68',3.5,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-5,South bay,marine,AUG67',4.5,49,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-6,South bay,marine,AUG67',5,47,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-7,South bay,marine,AUG67',5,21,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-8,South bay,marine,AUG67',6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-9,South bay,marine,APR67',6,11,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-10,South bay,marine,AUG67',6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-11,South bay,marine,APR67',6,11,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-12,South bay,marine,APR67',6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-13,South bay,marine,APR67',6,11,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-14,South bay,marine,AUG67',4.5,43,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-15,South bay,marine,AUG67',5,8,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-16,South bay,marine,AUG67',5,8,38.4,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-17,South bay,marine,AUG67',6,9,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-18,South bay,marine,APR67',5,5,38.4,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-19,South bay,marine,AUG67',5.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-20,South bay,marine,APR67',5,10,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
