"","depth","param","value","mean"
"1",70,"sand",17.09,NA
"2",90,"sand",25.82,NA
"3",120,"sand",74.37,NA
"4",170,"sand",6.9,NA
"5",190,"sand",73.59,NA
"6",290,"sand",0.43,NA
"7",296,"sand",0.68,NA
"8",330,"sand",80.59,NA
"9",450,"sand",82.44,NA
"10",520,"sand",15.92,NA
"11",525,"sand",96.97,NA
"12",540,"sand",85.2,NA
"13",550,"sand",21.88,NA
"14",570,"sand",78.88,NA
"15",600,"sand",92.94,NA
"16",610,"sand",95.8,NA
"17",630,"sand",96.38,NA
"18",660,"sand",94.19,NA
"19",730,"sand",94.77,NA
"20",750,"sand",94.21,NA
"21",780,"sand",86.97,NA
"22",790,"sand",85.77,NA
"23",810,"sand",87.1,NA
"24",840,"sand",88.13,NA
"25",850,"sand",87.15,NA
"26",870,"sand",87.37,NA
"27",900,"sand",86.4,NA
"28",970,"sand",86.62,NA
"29",990,"sand",71.01,NA
"30",1012,"sand",41.41,NA
"31",1030,"sand",41.8,NA
"32",1050,"sand",68.52,NA
"33",1080,"sand",38.08,NA
"34",1090,"sand",29.86,NA
"35",1110,"sand",54.2,NA
"36",1140,"sand",54.03,NA
"37",1150,"sand",53.19,NA
"38",1170,"sand",56.49,NA
"39",1200,"sand",45.65,NA
"40",1270,"sand",3.85,NA
"41",1290,"sand",0.41,NA
"42",1320,"sand",18.14,NA
"43",1330,"sand",53.67,NA
"44",1350,"sand",1.86,NA
"45",1370,"sand",19.07,NA
"46",1390,"sand",48.61,NA
"47",1410,"sand",2.18,NA
"48",1440,"sand",0.92,NA
"49",1450,"sand",0.75,NA
"50",1470,"sand",0.82,NA
"51",1492,"sand",0,NA
"52",1570,"sand",1.73,NA
"53",1590,"sand",12.1,NA
"54",1620,"sand",13.51,NA
"55",1630,"sand",86.56,NA
"56",1650,"sand",87.27,NA
"57",1680,"sand",87.88,NA
"58",1690,"sand",91.29,NA
"59",1710,"sand",93.09,NA
"60",1740,"sand",78.55,NA
"61",1750,"sand",77.14,NA
"62",1770,"sand",52.84,517
"63",1800,"sand",57.69,1069
"64",1870,"sand",4.71,1473
"65",1875,"sand",5.29,1500
"66",1890,"sand",4.35,1581
"67",1905,"sand",26.07,1659
"68",1920,"sand",3.44,1734
"69",1930,"sand",1.79,1783
"70",1935,"sand",1.79,1808
"71",1950,"sand",1.34,1883
"72",1965,"sand",2.4,1961
"73",1980,"sand",2.46,2037
"74",2170,"sand",1.95,3002
"75",2175,"sand",2.97,3035
"76",2190,"sand",5.36,3132
"77",2205,"sand",7.93,3237
"78",2220,"sand",3.18,3330
"79",2230,"sand",2.84,3387
"80",2235,"sand",2.51,3406
"81",2250,"sand",2.53,3461
"82",2265,"sand",2.28,3516
"83",2280,"sand",1.22,3570
"84",2290,"sand",3.76,3605
"85",2295,"sand",0.57,3625
"86",2310,"sand",0.9,3683
"87",2325,"sand",3,3744
"88",2340,"sand",4.35,3804
"89",2350,"sand",1.23,3844
"90",2355,"sand",13.88,3864
"91",2370,"sand",2.29,3923
"92",2385,"sand",3.15,3980
"93",2400,"sand",3.88,4038
"94",2470,"sand",2.41,4312
"95",2475,"sand",7.26,4339
"96",2490,"sand",1.71,4418
"97",2505,"sand",1.78,4505
"98",2520,"sand",2.24,4598
"99",2530,"sand",7.43,4662
"100",2535,"sand",2.45,4699
"101",2550,"sand",2.35,4811
"102",2565,"sand",6.31,4925
"103",2580,"sand",1.35,5021
"104",2590,"sand",1.94,5078
"105",2595,"sand",0.92,5107
"106",2610,"sand",0.36,5192
"107",2625,"sand",0.43,5278
"108",2640,"sand",0.43,5363
"109",2650,"sand",1.02,5420
"110",2655,"sand",0.77,5449
"111",2670,"sand",1.21,5535
"112",2685,"sand",1.31,5618
"113",2700,"sand",1.33,5703
"114",2770,"sand",1.23,6109
"115",2790,"sand",1.4,6221
"116",2820,"sand",0.66,6390
"117",2830,"sand",1.51,6445
"118",2850,"sand",0.77,6559
"119",2880,"sand",0.75,6731
"120",2890,"sand",0.94,6790
"121",2910,"sand",2.07,6905
"122",2940,"sand",0.87,7075
"123",2950,"sand",0.8,7133
"124",2970,"sand",2.62,7240
"125",3000,"sand",2.02,7397
"126",3070,"sand",1.93,7633
"127",3090,"sand",1.16,7698
"128",3120,"sand",1.67,7794
"129",3130,"sand",0.75,7826
"130",3150,"sand",7.74,7892
"131",3180,"sand",46.94,7991
"132",3190,"sand",18.03,8023
"133",3210,"sand",54.28,8088
"134",3240,"sand",62.17,8188
"135",3250,"sand",66.37,8221
"136",3270,"sand",47.65,8315
"137",3300,"sand",0.85,8457
"138",3310,"sand",0.74,8505
"139",3330,"sand",0.88,8601
"140",3360,"sand",1.54,8743
"141",3370,"sand",1.48,8790
"142",3390,"sand",0.22,8886
"143",3420,"sand",0.54,9026
"144",3430,"sand",0.2,9073
"145",3490,"sand",0,9361
"146",3510,"sand",1.81,9454
"147",3540,"sand",0.43,9597
"148",3550,"sand",1.26,9644
"149",3570,"sand",3.3,9738
"150",3600,"sand",5.53,9838
"151",3610,"sand",1.66,9872
"152",3630,"sand",1.04,9939
"153",3660,"sand",1.2,10039
"154",3670,"sand",1.24,10073
"155",3690,"sand",0.45,10136
"156",3720,"sand",1.19,10236
"157",3750,"sand",1.27,10337
"158",3790,"sand",1.5,10466
"159",3810,"sand",5.6,10527
"160",3840,"sand",3.32,NA
"161",3850,"sand",5.53,NA
"162",3870,"sand",24.54,NA
"163",3900,"sand",6.51,NA
