old,new
Acervulina.inhaerens,Acervulina.inhaerens
Adelosina.bicornis,Adelosina.bicornis
Adelosina.laevigata,Adelosina.laevigata
Adelosina.mediterranensis,Adelosina.mediterranensis
Adelosina.sp.,Adelosina.sp.
Adelosina.striata,Adelosina.striata
Ammobaculites.balkwilli,Ammobaculites.balkwilli
Ammobaculites.cf..arenaria,Ammobaculites.cf.arenaria
Ammobaculites.cf.arenaria,Ammobaculites.cf.arenaria
Ammobaculites.sp.1,Ammobaculites.sp.1
Ammonia.beccarii,Ammonia.beccarii
Ammonia.beccarii.agg,Ammonia.beccarii
Ammonia.tepida,Ammonia.tepida
Ammosphaeroidina.sp.1,Ammosphaeroidina.sp.1
Ammotium.cf..salsum,Ammotium.cf.salsum
AMMSPH,Ammosphaeroidina.sphaeroidiniforme
Amphicoryna.scalaris,Amphicoryna.scalaris
Arenoparella.mexicana,Arenoparella.mexicana
Astacolus.crepidulus,Astacolus.crepidulus
Asterigerinata.mamilla,Asterigerinata.mamilla
Asterigerinata.sp.1,Asterigerinata.sp.1
Aubignyna.hamblensis,Aubignyna.hamblensis
Aubignyna.perlucida,Aubignyna.perlucida
BCHAN,Unidentified.forms
Bolivina.alata,Bolivina.alata
Bolivina.difformis,Bolivina.difformis
Bolivina.dilatata,Bolivina.dilatata
Bolivina.pseudoplicata,Bolivina.pseudoplicata
Bolivina.striatula,Bolivina.striatula
Bolivinellina.pseudopunctata,Bolivinellina.pseudopunctata
Brizalina.cf..aenariensis,Brizalina.iraensis
Brizalina.iraensis,Brizalina.iraensis
Brizalina.spathulata,Brizalina.spathulata
Brizalina.variabilis,Brizalina.variabilis
Brizalina.variabils,Brizalina.variabilis
Buccella.granulata,Buccella.granulata
Bulimina.aculeata,Bulimina.aculeata
Bulimina.elongata,Bulimina.elongata
Bulimina.gibba,Bulimina.gibba
Bulimina.marginata,Bulimina.marginata
Bulimina.sp..1,Bulimina.sp.1
Buliminella.elegantissima,Buliminella.elegantissima
calcareous.undt,calcareous.undt
Cancris.auricula,Cancris.auricula
CAOBT,Unidentified.forms
Cassidulina.carinata,Cassidulina.carinata
Cassidulina.cf..crassa,Cassidulina.cf.crassa
Cassidulina.laevigata,Cassidulina.laevigata
Cassidulina.obtusa,Cassidulina.obtusa
cGYUMB,Unidentified.forms
Cibicides.lobatulus,Cibicides.lobatulus
Cibicides.lobulatus,Cibicides.lobatulus
Cibicides.sp.,Cibicides.sp.
Cibicidoides.bradyi,Cibicidoides.bradyi
Clavulina.obscura,Clavulina.obscura
Cornuloculina.sp.,Cornuloculina.sp.
Cornuspira.incerta,Cornuspira.incerta
Cornuspira.involvens,Cornuspira.involvens
cPOSP1,Unidentified.forms
Cribroelphidium.cf..poeyanum,Cribroelphidium.cf.poeyanum
Cribroelphidium.cf.poeyanum,Cribroelphidium.cf.poeyanum
Cribroelphidium.excavatum,Cribroelphidium.excavatum
Cribroelphidium.magellanicum,Cribroelphidium.magellanicum
Cribroelphidium.oceanensis,Cribroelphidium.oceanensis
Cribroelphidium.poeyanum,Cribroelphidium.poeyanum
Cribroelphidium.selseyense,Cribroelphidium.selseyensis
Cribroelphidium.selseyensis,Cribroelphidium.selseyensis
Cribroelphidium.sp.,Cribroelphidium.sp.
Cribroelphidium.sp..cf.excavatum.,Cribroelphidium.sp.cf.excavatum.
Cribroelphidium.sp.1,Cribroelphidium.sp.1
Cribroelphidium.williamsoni,Cribroelphidium.williamsoni
Cribrolphidium.excavatum,Cribrolphidium.excavatum
cTECAL,Textularia.cf.calva
Delosina.complexa,Delosina.complexa
Discorbis.sp.,Discorbis.sp.
Eggerella.advena,Eggerella.advena
Eggerelloides.scaber,Eggerelloides.scaber
ELGER,Elphidium.sp.
Elphidium.advenum,Elphidium.advenum
Elphidium.cf..earlandi,Elphidium.cf.earlandi
Elphidium.cf..flexuosum,Elphidium.cf.flexuosum
Elphidium.cf..schmitti,Elphidium.cf..schmitti
Elphidium.crispum,Elphidium.crispum
Elphidium.earlandi,Elphidium.earlandi
Elphidium.excavatum,Elphidium.excavatum
Elphidium.flexuosum,Elphidium.flexuosum
Elphidium.gerthi,Elphidium.gerthi
Elphidium.incertum,Elphidium.incertum
Elphidium.lidoense,Elphidium.lidoense
Elphidium.macellum,Elphidium.macellum
Elphidium.margaritaceum,Elphidium.margaritaceum
Elphidium.matagordanum,Elphidium.matagordanum
Elphidium.sp.,Elphidium.sp.
Elphidium.sp.1,Elphidium.sp.1
Elphidium.sp.2,Elphidium.sp.2
Epistominella.vitrea,Epistominella.vitrea
Favulina.melo,Favulina.melo
FIMAR,Fissurina.marginata
Fissurina.lucida,Fissurina.lucida
Fissurina.marginata,Fissurina.marginata
Fissurina.sp.,Fissurina.sp.
Fissurina.sp.1,Fissurina.sp.1
Fursenkoina.cf..complanata,Fursenkoina.cf..complanata
Fursenkoina.cf..fusiformis,Fursenkoina.cf..fusiformis
Fursenkoina.schreibersiana,Fursenkoina.schreibersiana
FUSP1,Fursenkonia.sp.1
Gavelinopsis.praegeri,Gavelinopsis.praegeri
Globobulimina.sp.,Globobulimina.sp.
Gyroidina.sp.,Gyroidina.sp.
Haplophragmoides.canariensis,Haplophragmoides.canariensis
Haplophragmoides.sp.1,Haplophragmoides.sp.1
Haplophragmoides.wilberti,Haplophragmoides.wilberti
Haynesina.cf..germanica,Haynesina.cf..germanica
Haynesina.depressula,Haynesina.depressula
Haynesina.germanica,Haynesina.germanica
Hopkinsina.pacifica,Hopkinsina.pacifica
Jadammina.macrescens,Jadammina.macrescens
Lachlanella.undulata,Lachlanella.undulata
Lagena.cf..semistriata,Lagena.cf..semistriata
Lagena.semistriata,Lagena.semistriata
Lagena.substriata,Lagena.semistriata
Lagena.sulcata,Lagena.sulcata
Lagena.tenuis,Lagena.tenuis
Lagena.vulgaris,Lagena.vulgaris
Lagenammina.difflugiformis,Lagenammina.difflugiformis
Lagenammina.laguncula,Lagenammina.laguncula
Leptohalysis.scottii,Leptohalysis.scottii
Massilina.secans,Massilina.secans
Melonis.pompilioides,Melonis.pompilioides
MIFUS,Miliammina fusca
Miliolid.undeterminated,Miliolid.undetermined
Miliolid.undetermined,Miliolid.undetermined
Miliolinella.subrotunda,Miliolinella.subrotunda
Miliolinella.webbiana,Miliolinella.webbiana
MISUB,Miliolinella.subrotunda
Nodulina.dentaliniformis,Nodulina.dentaliniformis
Nonion.asterizans,Nonion.asterizans
Nonion.laevigatum,Nonion.laevigatum
Nonionella.atlantica,Nonionella.atlantica
Nonionella.opima,Nonionella.opima
Nonionella.sp,Nonionella.sp
Nonionoides.boeanum,Nonionoides.boueanum
Nonionoides.boueanum,Nonionoides.boueanum
Nonionoides.cf..japonicum,Nonionoides.cf..japonicum
Nonionoides.scaphus,Nonionoides.scaphus
Nonionoides.turgida,Nonionoides.turgida
Nouria.polymorphides,Nouria.polymorphides
Patellina.corrugata,Patellina.corrugata
PLANK,Planktic
Planktic,Planktic
Planorbulina.mediterranensis,Planorbulina.mediterranensis
PLARI,Planorbulina.mediterranensis
Poroeponides.lateralis,Poroeponides.lateralis
Procerolagena.clavata,Procerolagena.clavata
Pyrgo.inornata,Pyrgo.inornata
Pyrgo.sp.,Pyrgo.sp.
Quinqueloculina.berthelotiana,Quinqueloculina.berthelotiana
Quinqueloculina.depressa,Quinqueloculina.depressa
Quinqueloculina.jugosa,Quinqueloculina.jugosa
Quinqueloculina.lata,Quinqueloculina.lata
Quinqueloculina.longirostra,Quinqueloculina.longirostra
Quinqueloculina.oblonga,Quinqueloculina.oblonga
Quinqueloculina.rugosa,Quinqueloculina.rugosa
Quinqueloculina.seminula,Quinqueloculina.seminula
Quinqueloculina.sp.1,Quinqueloculina.sp.1
Quinqueloculina.sp.2,Quinqueloculina.sp.2
Quinqueloculina.stelligera,Quinqueloculina.stelligera
Quinqueloculina.vulgaris,Quinqueloculina.vulgaris
QULAE,Quinqueloculina.laevigata
Rectuvigerina.cf..compressa,Rectuvigerina.cf..compressa
Rectuvigerina.compressa,Rectuvigerina.compressa
Reophax.cf..fusiformis,Reophax.cf..fusiformis
Reophax.cylindrica,Reophax.cylindrica
Reophax.moniliformis,Reophax.moniliformis
Reophax.nana,Reophax.nana
Reophax.scorpiurus,Reophax.scorpiurus
Reophax.subfusiformis,Reophax.subfusiformis
RESP1,Reusella.sp.1
Reussella.aculeata,Reussella.aculeata
Reussoolina.laevis,Reussoolina.laevis
Robertina.arctica,Robertina.arctica
Rosalina.anomala,Rosalina.anomala
Rosalina.bulbosa,Rosalina.bulbosa
Rosalina.cf..mediterranensis,Rosalina.cf..mediterranensis
Rosalina.cf..valvulata,Rosalina.cf..valvulata
Rosalina.concinna,Rosalina.concinna
Rosalina.globularis,Rosalina.globularis
Rosalina.irregularis,Rosalina.irregularis
Rosalina.sp.1,Rosalina.sp.1
Rosalina.sp.2,Rosalina.sp.2
Rosalina.valvulata,Rosalina.valvulata
Rosalina.williamsoni,Rosalina.williamsoni
Saccammina.atlantica,Saccammina.atlantica
SASP1,Saccammina.sp.1
Siphonaperta.quadrata,Siphonaperta.quadrata
Spirillina.vivipara,Spirillina.vivipara
Spiroloculina.canaliculata,Spiroloculina.canaliculata
Svratkina.sp.,Svratkina.sp.
Svratkina.sp.1,Svratkina.sp.
Textularia.agglutinans,Textularia.agglutinans
Textularia.bocki,Textularia.bocki
Textularia.calva,Textularia.calva
Textularia.sp.,Textularia.sp.
Textularia.sp.1,Textularia.sp.
Textularia.tenuissima,Textularia.tenuissima
Texturalid.undetermined,Texturalid.undetermined
Tretomphaloides.concinnus,Tretomphaloides.concinnus
Tretomphalus.concinnus,Tretomphalus.concinnus
Trichohyalus.aguayoi,Trichohyalus.aguayoi
Trifarina.angulosa,Trifarina.angulosa
Triloculina.dubia,Triloculina.dubia
Triloculina.marioni,Triloculina.marioni
Triloculina.rotunda,Triloculina.rotunda
Triloculina.sp,Triloculina.sp
Triloculina.sp.1,Triloculina.sp
Triloculina.trigonula,Triloculina.trigonula
Trochammina.cf..advena,Trochammina.cf..advena
Trochammina.inflata,Trochammina.inflata
Trochammina.lobata,Trochammina.lobata
Unidentified.forms,Unidentified.forms
Uvigerina.peregrina,Uvigerina.peregrina
Uvigerina.sp.,Uvigerina.sp.
Uvigerina.sp.1,Uvigerina.sp.
Valvulineria.bradyana,Valvulineria.bradyana
